Seed,n,m,eps,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
0,2048,2048,3.01,6541,17.068395376205444,9.995203784492267e-06,24.417007850811494,1.2019403476121333
1,2048,2048,3.01,4123,9.589959621429443,9.998573439958382e-06,7.253633953712933,0.29269445100229596
2,2048,2048,3.01,2906,7.415710926055908,9.997655432514123e-06,8.096439156377484,0.34184718510469203
3,2048,2048,3.01,8794,21.392244815826416,9.999709176058491e-06,11.29553759684428,2.1456791662516217
4,2048,2048,3.01,1649,3.9526278972625732,9.993857800061367e-06,7.230928318911214,0.4731003114743295
5,2048,2048,3.01,1916,4.542537689208984,9.997390322008743e-06,6.566938034502536,0.2734542419764976
6,2048,2048,3.01,7456,17.191561937332153,9.998813678235028e-06,16.778010643333545,0.9474108232723211
7,2048,2048,3.01,4130,11.391185283660889,9.99666904776225e-06,11.890743870005636,0.5364551201871492
8,2048,2048,3.01,2796,7.4124274253845215,9.999417144303377e-06,8.846646418081827,0.3126139497518352
9,2048,2048,3.01,3945,10.300942420959473,9.997184689059815e-06,9.586990785356438,1.1159248447470826
0,2048,2048,3.03,6494,16.665112257003784,9.988959390609437e-06,24.41597144486468,1.2029767535589464
1,2048,2048,3.03,4088,10.563021421432495,9.999384207488968e-06,7.263737785314188,0.30279828260355046
2,2048,2048,3.03,2882,7.6524293422698975,9.996892065599087e-06,8.105404666912655,0.33288167456952067
3,2048,2048,3.03,8724,23.23961853981018,9.999116606114532e-06,11.302840926363938,2.1383758367319636
4,2048,2048,3.03,1637,4.407454490661621,9.999126619465249e-06,7.242348203711174,0.4845201962742891
5,2048,2048,3.03,1898,4.889575481414795,9.997902586416068e-06,6.578933577016132,0.2854497844900932
6,2048,2048,3.03,7401,19.630064725875854,9.999248908126109e-06,16.782597945525726,0.9428235210801397
7,2048,2048,3.03,4099,11.547029972076416,9.996348661159586e-06,11.897527287096782,0.5296717030960032
8,2048,2048,3.03,2773,7.238173246383667,9.99877246608675e-06,8.854983633504226,0.30427673432943614
9,2048,2048,3.03,3913,10.325342416763306,9.998835226934701e-06,9.597683174492563,1.1052324556109578
0,2048,2048,3.05,6447,17.181509971618652,9.990672716402526e-06,24.41375616769566,1.205192030727968
