n,m,eps,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
64,64,1,211,0.002859354019165039,9.841313904426774e-08,0.8299396756341959,0.8299396756341959
64,64,0.8,268,0.0032873153686523438,9.975832813979846e-08,0.6106506264360634,0.6106506264360634
64,64,0.5,305,0.003916501998901367,9.990170231691242e-08,0.27075220578345116,0.27075220578345116
64,64,0.1,1,5.745887756347656e-05,3.219968042200705e-11,8.938104749014504e-05,8.938104749014504e-05
64,64,0.08,1,7.486343383789062e-05,2.169965596099388e-13,7.336847998631913e-06,7.336847998631913e-06
64,64,0.05,1,9.34600830078125e-05,0.0,4.0578961940431505e-09,4.0578961940431505e-09
64,64,0.01,1,0.00010061264038085938,0.0,7.32389957779102e-44,7.32389957779102e-44
64,64,0.008,1,9.131431579589844e-05,0.0,1.0171390620899536e-54,1.0171390620899536e-54
64,64,0.005,1,9.274482727050781e-05,0.0,2.724546287012952e-87,2.724546287012952e-87
