Seed,n,m,eps,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
0,2048,2048,1.1,100000,236.45006680488586,nan,nan,nan
1,2048,2048,1.1,43630,105.73379802703857,9.99966732535178e-07,7.054069307136969,0.09312980442633201
2,2048,2048,1.1,30957,78.71479988098145,9.999297263998258e-07,8.506384144783677,0.06809780330150161
3,2048,2048,1.1,50858,123.52563047409058,9.999015278365497e-07,13.32275355206758,0.11846321102832214
4,2048,2048,1.1,50948,126.57352137565613,9.999913563163822e-07,6.84671199566867,0.08888398823178534
5,2048,2048,1.1,58800,144.61835956573486,9.99988821849063e-07,6.346545179969494,0.053061387443455565
6,2048,2048,1.1,45204,118.97458410263062,9.999454299226178e-07,17.701061270484743,0.024360196121122613
7,2048,2048,1.1,36906,108.66975164413452,9.999329944627294e-07,12.511078628859009,0.0838796386662235
8,2048,2048,1.1,49059,127.01256799697876,9.999659215473994e-07,9.17552240392006,0.016262036086397202
9,2048,2048,1.1,73133,183.1650471687317,9.999887942071118e-07,10.721128358031311,0.01821272792779105
0,2048,2048,1,100000,240.98155283927917,nan,nan,nan
1,2048,2048,1,48374,115.37002420425415,9.999960832748987e-07,7.025936220833659,0.06499671812302132
2,2048,2048,1,34984,83.92130041122437,9.999498237110108e-07,8.484452941890027,0.04616660040785092
3,2048,2048,1,100000,244.68360471725464,nan,nan,nan
4,2048,2048,1,57078,134.83378386497498,9.999955943711678e-07,6.813258120331632,0.0554301128947472
5,2048,2048,1,66127,149.11322450637817,9.999795480884841e-07,6.316606092653462,0.023122300127423223
6,2048,2048,1,100000,181.9220998287201,nan,nan,nan
7,2048,2048,1,40400,91.5195803642273,9.99931829370835e-07,12.494000714101698,0.06680172390891315
8,2048,2048,1,55660,126.16512751579285,9.999961443613427e-07,9.152919768039311,0.006340599794350865
9,2048,2048,1,81580,189.95615577697754,9.999961755029901e-07,10.7005025131311,0.002413116972419971
