Seed,n,m,eps,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
0,64,64,1.0,213,0.0025260448455810547,9.609063359554415e-07,5.632025136822855,0.11723925545122871
1,64,64,1.0,678,0.007510662078857422,9.90172649057569e-07,1.9950825274631039,0.28782947498851197
2,64,64,1.0,646,0.0074176788330078125,9.98773656349372e-07,2.5625579283874638,0.20192252724741788
3,64,64,1.0,647,0.007193565368652344,9.994130158938463e-07,1.7592243404923342,0.3211176317669715
4,64,64,1.0,949,0.010776042938232422,9.984326051031e-07,1.551288767724746,0.33452887432979916
5,64,64,1.0,812,0.009496450424194336,9.973028834986408e-07,1.9187551838086483,0.30646381443479465
6,64,64,1.0,949,0.010921716690063477,9.961548000925191e-07,1.6368683626309823,0.3637774525697952
7,64,64,1.0,1023,0.011441946029663086,9.966448725820531e-07,1.2637501937248843,0.3969513914207444
8,64,64,1.0,601,0.006766557693481445,9.970479101437113e-07,2.4195326919753355,0.22270423357655034
9,64,64,1.0,338,0.0038788318634033203,9.980450205900049e-07,3.800456004184755,0.1380345601203543
0,64,64,0.9,235,0.002749919891357422,9.644183416625263e-07,5.606650832320126,0.09186495094849967
1,64,64,0.9,787,0.009369134902954102,9.921787647027003e-07,1.9414648755902972,0.23421182311570532
2,64,64,0.9,743,0.008269071578979492,9.938490269124911e-07,2.519096663283223,0.1584612621431769
3,64,64,0.9,745,0.008547782897949219,9.94671114095541e-07,1.699300632624123,0.26119392389876017
4,64,64,0.9,1098,0.012609481811523438,9.940279924423867e-07,1.4880952689169047,0.27133537552195786
5,64,64,0.9,945,0.01102304458618164,9.999176039769686e-07,1.861523422599916,0.24923205322606234
6,64,64,0.9,1116,0.01258397102355957,9.99169492092028e-07,1.5702933177747433,0.2972024077135562
7,64,64,0.9,1198,0.01376652717590332,9.952165930422752e-07,1.1919421566548425,0.32514335435070263
8,64,64,0.9,700,0.008500337600708008,9.975578344652292e-07,2.3751366377432146,0.17830817934442944
9,64,64,0.9,373,0.004164457321166992,9.854350047772131e-07,3.769412156667699,0.10699071260329829
0,64,64,0.8,262,0.0029401779174804688,9.461268100155462e-07,5.583427661380199,0.0686417800085728
1,64,64,0.8,931,0.011423110961914062,9.949510369616776e-07,1.8908269307096994,0.1835738782351075
2,64,64,0.8,867,0.010017633438110352,9.91396618684609e-07,2.4789478492267687,0.11831244808672281
3,64,64,0.8,870,0.00966501235961914,9.983061281283734e-07,1.642037322289287,0.20393061356392428
