Seed,n,m,eps,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
0,128,128,1.0,1267,0.02489924430847168,9.981270585423044e-06,2.491820274081376,0.2419114954640964
1,128,128,1.0,1428,0.023714780807495117,9.9838941756622e-06,2.1555246547360527,0.27050629634160117
2,128,128,1.0,1503,0.026455163955688477,9.984669818085753e-06,2.2661115888295336,0.25233833931667826
3,128,128,1.0,807,0.020021677017211914,9.98130767365657e-06,4.5526661271423645,0.15800166483811573
4,128,128,1.0,1504,0.034899234771728516,9.971523485205816e-06,2.7834626559973055,0.19630194315257654
5,128,128,1.0,1336,0.02752995491027832,9.993151006689599e-06,2.8288373005415823,0.2002371667791909
6,128,128,1.0,465,0.00861811637878418,9.762069732913853e-06,6.417982996498649,0.06936607627687863
7,128,128,1.0,1477,0.023978233337402344,9.969694348691688e-06,2.4235843156779238,0.2417841592602472
8,128,128,1.0,1564,0.025972843170166016,9.978399470004715e-06,1.8770378144508084,0.3012623535129031
9,128,128,1.0,1428,0.02610611915588379,9.975691516714291e-06,4.52185575490312,0.12476776744492746
0,128,128,0.9,1421,0.025092601776123047,9.979548703362498e-06,2.4424378044694226,0.19252902585214304
1,128,128,0.9,1631,0.026478052139282227,9.978375390466004e-06,2.1024448643827736,0.21742650598832203
2,128,128,0.9,1737,0.03138113021850586,9.990235823091609e-06,2.2134208209955775,0.19964757148272216
3,128,128,0.9,901,0.01540994644165039,9.989005614288726e-06,4.518020770343656,0.12335630803940756
4,128,128,0.9,1709,0.027527570724487305,9.981339128285402e-06,2.740469392714713,0.15330867986998387
5,128,128,0.9,1519,0.024503231048583984,9.971875674585906e-06,2.7858084685883497,0.1572083348259583
6,128,128,0.9,510,0.008359670639038086,9.82608912795252e-06,6.399623458358278,0.05100653813650702
7,128,128,0.9,1694,0.028572797775268555,9.975651765400939e-06,2.3747132369105457,0.19291308049286915
8,128,128,0.9,1813,0.029105186462402344,9.979864483618608e-06,1.8169686291283855,0.2411931681904802
9,128,128,0.9,1645,0.026579856872558594,9.975267061260867e-06,4.491659163169558,0.09457117571136564
0,128,128,0.8,1609,0.02671360969543457,9.997768040143074e-06,2.396310840508545,0.1464020618912656
1,128,128,0.8,1886,0.03152966499328613,9.986453124534445e-06,2.0522942580709147,0.16727589967646317
2,128,128,0.8,2037,0.03367757797241211,9.975287942479497e-06,2.1642628541420725,0.15048960462921723
3,128,128,0.8,1021,0.016839265823364258,9.998502464376308e-06,4.486149469658914,0.09148500735466492
4,128,128,0.8,1964,0.03193831443786621,9.997591748358084e-06,2.7008263641920562,0.11366565134732731
5,128,128,0.8,1750,0.028374195098876953,9.9789649988212e-06,2.7457670035418493,0.1171668697794579
6,128,128,0.8,565,0.009164094924926758,9.996040116840368e-06,6.383107062178817,0.03449014195704603
7,128,128,0.8,1972,0.03527522087097168,9.997467862293483e-06,2.3286300844034544,0.14682992798577787
8,128,128,0.8,2134,0.04085040092468262,9.985361559133876e-06,1.7602658779167943,0.18449041697888902
9,128,128,0.8,1920,0.0323333740234375,9.990293659126182e-06,4.463945456413462,0.0668574689552699
0,128,128,0.7,1847,0.03293299674987793,9.999008418366817e-06,2.354133663358394,0.10422488474111447
1,128,128,0.7,2217,0.04642200469970703,9.98982248373928e-06,2.005696029316332,0.12067767092188042
2,128,128,0.7,2430,0.043505191802978516,9.988836366393514e-06,2.1193098572327482,0.10553660771989293
3,128,128,0.7,1185,0.02269124984741211,9.992421596709267e-06,4.457929092147726,0.06326462984347714
4,128,128,0.7,2291,0.04466438293457031,9.977724052000203e-06,2.665152852166183,0.07799213932145399
5,128,128,0.7,2052,0.04806041717529297,9.974433997370427e-06,2.709322276260848,0.08072214249845677
6,128,128,0.7,636,0.014364957809448242,9.817414120644533e-06,6.369097937147287,0.020481016925516293
7,128,128,0.7,2342,0.047031402587890625,9.998409405518813e-06,2.285897984302614,0.10409782788493738
8,128,128,0.7,2560,0.04555368423461914,9.993625693541924e-06,1.7077658029698797,0.13199034203197435
9,128,128,0.7,2277,0.038018226623535156,9.982102754373112e-06,4.439193150798773,0.042105163340580454
0,128,128,0.6,2158,0.0360105037689209,9.995716061667048e-06,2.3168786089885782,0.06696983037129867
1,128,128,0.6,2664,0.04492306709289551,9.991203039579066e-06,1.963602740554803,0.07858438216035157
2,128,128,0.6,2966,0.0497288703918457,9.981419751401224e-06,2.0796312345795336,0.06585798506667828
3,128,128,0.6,1406,0.02387261390686035,9.938627688910531e-06,4.433628931563854,0.038964469259605394
4,128,128,0.6,2722,0.04893851280212402,9.9827945435043e-06,2.6342249805135722,0.04706426766884331
5,128,128,0.6,2462,0.049121856689453125,9.984676798508937e-06,2.677215737631248,0.04861560386885655
6,128,128,0.6,728,0.011878728866577148,9.780470358017324e-06,6.357349895657691,0.008732975435920665
7,128,128,0.6,2856,0.05877995491027832,9.997797680426357e-06,2.247373038900266,0.06557288248258963
8,128,128,0.6,3147,0.057332515716552734,9.990170278169688e-06,1.6607045977807324,0.0849291368428271
9,128,128,0.6,2747,0.04651832580566406,9.992946996155438e-06,4.417953965953428,0.020865978495235638
0,128,128,0.5,2583,0.04745006561279297,9.991036214546112e-06,2.2859518659860427,0.03604308736876316
1,128,128,0.5,3302,0.0590054988861084,9.996937487294355e-06,1.9275168748019822,0.04249851640753066
2,128,128,0.5,3731,0.06969165802001953,9.987673427318614e-06,2.0466713047468468,0.032898055233991474
3,128,128,0.5,1713,0.028765439987182617,9.994752589502151e-06,4.414047141327449,0.019382679023200566
4,128,128,0.5,3318,0.05538010597229004,9.995456244579065e-06,2.609247054865325,0.022086342020596117
5,128,128,0.5,3051,0.056223392486572266,9.989850829025468e-06,2.6505656797664168,0.021965546004025338
6,128,128,0.5,853,0.01724100112915039,9.91660273451725e-06,6.348178487796156,0.0004384324256143657
7,128,128,0.5,3614,0.06528997421264648,9.990977901169415e-06,2.2145880668448603,0.032787910427183764
8,128,128,0.5,3990,0.0722806453704834,9.99756212313567e-06,1.620928504068648,0.045153043130742754
9,128,128,0.5,3379,0.05659842491149902,9.997213836744623e-06,4.401108185589623,0.004020198131430064
0,128,128,0.4,3192,0.05241680145263672,9.997334768098096e-06,2.263282546930377,0.013373768313097223
