Seed,n,m,eps,tol,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
0,128,128,0.7,1e-05,1847,0.031269073486328125,9.999008418366817e-06,2.354133663358394,0.10422488474111447
1,128,128,0.7,1e-05,2217,0.036356210708618164,9.98982248373928e-06,2.005696029316332,0.12067767092188042
2,128,128,0.7,1e-05,2430,0.05261945724487305,9.988836366393514e-06,2.1193098572327482,0.10553660771989293
3,128,128,0.7,1e-05,1185,0.021756887435913086,9.992421596709267e-06,4.457929092147726,0.06326462984347714
4,128,128,0.7,1e-05,2291,0.03803253173828125,9.977724052000203e-06,2.665152852166183,0.07799213932145399
5,128,128,0.7,1e-05,2052,0.03588747978210449,9.974433997370427e-06,2.709322276260848,0.08072214249845677
6,128,128,0.7,1e-05,636,0.010265350341796875,9.817414120644533e-06,6.369097937147287,0.020481016925516293
7,128,128,0.7,1e-05,2342,0.040033578872680664,9.998409405518813e-06,2.285897984302614,0.10409782788493738
8,128,128,0.7,1e-05,2560,0.047163963317871094,9.993625693541924e-06,1.7077658029698797,0.13199034203197435
9,128,128,0.7,1e-05,2277,0.03946852684020996,9.982102754373112e-06,4.439193150798773,0.042105163340580454
0,128,128,0.6,1e-05,2158,0.04054617881774902,9.995716061667048e-06,2.3168786089885782,0.06696983037129867
1,128,128,0.6,1e-05,2664,0.05322575569152832,9.991203039579066e-06,1.963602740554803,0.07858438216035157
2,128,128,0.6,1e-05,2966,0.0465550422668457,9.981419751401224e-06,2.0796312345795336,0.06585798506667828
3,128,128,0.6,1e-05,1406,0.022454500198364258,9.938627688910531e-06,4.433628931563854,0.038964469259605394
4,128,128,0.6,1e-05,2722,0.04262232780456543,9.9827945435043e-06,2.6342249805135722,0.04706426766884331
5,128,128,0.6,1e-05,2462,0.05091214179992676,9.984676798508937e-06,2.677215737631248,0.04861560386885655
6,128,128,0.6,1e-05,728,0.014922618865966797,9.780470358017324e-06,6.357349895657691,0.008732975435920665
7,128,128,0.6,1e-05,2856,0.05260133743286133,9.997797680426357e-06,2.247373038900266,0.06557288248258963
8,128,128,0.6,1e-05,3147,0.053050994873046875,9.990170278169688e-06,1.6607045977807324,0.0849291368428271
9,128,128,0.6,1e-05,2747,0.0442500114440918,9.992946996155438e-06,4.417953965953428,0.020865978495235638
0,128,128,0.5,1e-05,2583,0.04554390907287598,9.991036214546112e-06,2.2859518659860427,0.03604308736876316
1,128,128,0.5,1e-05,3302,0.054280757904052734,9.996937487294355e-06,1.9275168748019822,0.04249851640753066
2,128,128,0.5,1e-05,3731,0.06687426567077637,9.987673427318614e-06,2.0466713047468468,0.032898055233991474
3,128,128,0.5,1e-05,1713,0.027807950973510742,9.994752589502151e-06,4.414047141327449,0.019382679023200566
4,128,128,0.5,1e-05,3318,0.05854392051696777,9.995456244579065e-06,2.609247054865325,0.022086342020596117
5,128,128,0.5,1e-05,3051,0.05756831169128418,9.989850829025468e-06,2.6505656797664168,0.021965546004025338
6,128,128,0.5,1e-05,853,0.019333839416503906,9.91660273451725e-06,6.348178487796156,0.0004384324256143657
7,128,128,0.5,1e-05,3614,0.06352519989013672,9.990977901169415e-06,2.2145880668448603,0.032787910427183764
8,128,128,0.5,1e-05,3990,0.06103110313415527,9.99756212313567e-06,1.620928504068648,0.045153043130742754
9,128,128,0.5,1e-05,3379,0.054884910583496094,9.997213836744623e-06,4.401108185589623,0.004020198131430064
0,128,128,0.4,1e-05,3192,0.055266618728637695,9.997334768098096e-06,2.263282546930377,0.013373768313097223
1,128,128,0.4,1e-05,4293,0.06922030448913574,9.999487967451287e-06,1.8996610600146304,0.014642701620178888
2,128,128,0.4,1e-05,4906,0.08517026901245117,9.991352390449279e-06,2.0224879081287,0.008714658615844861
3,128,128,0.4,1e-05,2167,0.03560757637023926,9.979106960369619e-06,4.400314125928433,0.005649663624184065
4,128,128,0.4,1e-05,4198,0.07545900344848633,9.992207321354862e-06,2.5917762549039374,0.004615542059208444
5,128,128,0.4,1e-05,3961,0.0630943775177002,9.99225395132905e-06,2.6308539702957807,0.0022538365333892862
6,128,128,0.4,1e-05,1037,0.01709270477294922,9.88870958062299e-06,6.342265761012961,0.006351159208809243
7,128,128,0.4,1e-05,4818,0.08188438415527344,9.989923084314026e-06,2.1899920347696176,0.008191878351941018
8,128,128,0.4,1e-05,5262,0.08010077476501465,9.993908688289352e-06,1.591157576621212,0.015382115683306719
9,128,128,0.4,1e-05,4251,0.06707429885864258,9.992357374411648e-06,4.389630675658071,0.0074573118001213246
0,128,128,0.3,1e-05,4089,0.06567502021789551,9.995916071474376e-06,2.250798997500116,0.0008902188828363577
1,128,128,0.3,1e-05,6113,0.11841011047363281,9.993992374531316e-06,1.8828612586043882,0.0021570997900632882
2,128,128,0.3,1e-05,6936,0.11436915397644043,9.99208428282064e-06,2.008940348055907,0.0048329014569481465
3,128,128,0.3,1e-05,2894,0.04895925521850586,9.967424999096294e-06,4.393063985842133,0.0016004764621158074
4,128,128,0.3,1e-05,5613,0.09864997863769531,9.987004634755617e-06,2.5828970090154177,0.004263703829311183
5,128,128,0.3,1e-05,5538,0.09249043464660645,9.999705420727159e-06,2.619574017425035,0.009026116337356616
6,128,128,0.3,1e-05,1338,0.022485733032226562,9.916002124684548e-06,6.3394150320080485,0.009201888213722142
7,128,128,0.3,1e-05,6899,0.12917256355285645,9.992689026003254e-06,2.176405874694148,0.005394281723528405
