Seed,n,m,eps,tol,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
0,128,128,0.08,1e-05,11358,0.2003459930419922,9.998421823441406e-06,2.2473890531342873,0.0025197254829922855
1,128,128,0.08,1e-05,30490,0.5559990406036377,9.99990628647654e-06,1.877392359068931,0.007625999325520549
2,128,128,0.08,1e-05,37944,0.6984877586364746,9.99770115350622e-06,2.008844288704142,0.004928960808713523
3,128,128,0.08,1e-05,9494,0.18689656257629395,9.997938385356703e-06,4.391094065614482,0.003570396689767108
4,128,128,0.08,1e-05,19761,0.34760618209838867,9.993890826950208e-06,2.5807059084804296,0.006454804364299349
5,128,128,0.08,1e-05,26483,0.43777012825012207,9.99840210966739e-06,2.6168791582115523,0.011720975550839174
6,128,128,0.08,1e-05,100000,1.837015151977539,nan,nan,nan
7,128,128,0.08,1e-05,28601,0.4980926513671875,9.999462098925216e-06,2.1765392611021213,0.005260895315555292
8,128,128,0.08,1e-05,37332,0.6248657703399658,9.998576201071877e-06,1.572831114846221,0.002944346091684258
9,128,128,0.08,1e-05,100000,1.7994046211242676,nan,nan,nan
0,128,128,1.0,1e-06,2215,0.0425412654876709,9.982391597860435e-07,2.4937824564258664,0.24387367780858682
1,128,128,1.0,1e-06,2183,0.0380406379699707,9.977540738649593e-07,2.161886842326914,0.27686848393246244
2,128,128,1.0,1e-06,2135,0.044487953186035156,9.99309176966806e-07,2.275120716015607,0.26134746650275176
3,128,128,1.0,1e-06,1043,0.021167755126953125,9.934308377694545e-07,4.559582071476341,0.1649176091720923
4,128,128,1.0,1e-06,2095,0.03167462348937988,9.990459104991523e-07,2.79127938276913,0.20411866992440109
5,128,128,1.0,1e-06,1845,0.029552936553955078,9.981283394366186e-07,2.8396917773730816,0.21109164361069022
6,128,128,1.0,1e-06,546,0.00833439826965332,9.794461643692493e-07,6.427428215538023,0.0788112953162523
7,128,128,1.0,1e-06,2073,0.03323221206665039,9.993502670460619e-07,2.4330026464230037,0.25120249000532713
8,128,128,1.0,1e-06,2439,0.03601813316345215,9.98028443976659e-07,1.8824916707184012,0.30671620978049585
9,128,128,1.0,1e-06,2042,0.03268313407897949,9.964135074640168e-07,4.534642058983181,0.13755407152498833
0,128,128,0.9,1e-06,2508,0.040505409240722656,9.990591707705054e-07,2.4443436094933864,0.1944348308761068
1,128,128,0.9,1e-06,2486,0.03725576400756836,9.993960956404535e-07,2.10887497946115,0.22385662106669857
2,128,128,0.9,1e-06,2461,0.03998923301696777,9.969870501148892e-07,2.2224529515762983,0.208679702063443
3,128,128,0.9,1e-06,1160,0.017232418060302734,9.911897744865894e-07,4.525051566154593,0.13038710385034413
4,128,128,0.9,1e-06,2368,0.03835868835449219,9.971649247049463e-07,2.748203033388549,0.16104232054382006
5,128,128,0.9,1e-06,2096,0.03187680244445801,9.99421219177385e-07,2.7967550988722256,0.1681549651098342
6,128,128,0.9,1e-06,594,0.009584188461303711,9.956059120151683e-07,6.408982591087675,0.060365670865904164
7,128,128,0.9,1e-06,2374,0.037320852279663086,9.985890260192504e-07,2.3842618702405,0.20246171382282352
8,128,128,0.9,1e-06,2828,0.04752635955810547,9.984382546273513e-07,1.8225818525352446,0.2468063915973393
9,128,128,0.9,1e-06,2363,0.036285400390625,9.99740602310173e-07,4.504534274414905,0.1074462869567121
0,128,128,0.8,1e-06,2874,0.04649996757507324,9.98381273424609e-07,2.3981752938960144,0.1482665152787348
1,128,128,0.8,1e-06,2867,0.04938912391662598,9.999364548873846e-07,2.058799788587482,0.1737814301930305
2,128,128,0.8,1e-06,2875,0.04618334770202637,9.985181383849462e-07,2.1732708852640874,0.1594976357512321
3,128,128,0.8,1e-06,1307,0.020107269287109375,9.965130830826008e-07,4.493133212821796,0.09846875051754722
4,128,128,0.8,1e-06,2704,0.043685197830200195,9.979055665930436e-07,2.7084452632238287,0.1212845503790998
5,128,128,0.8,1e-06,2415,0.047318220138549805,9.984092031924824e-07,2.7568464351719273,0.12824630140953586
6,128,128,0.8,1e-06,654,0.010792255401611328,9.75794902520824e-07,6.392528398418197,0.043911478196426046
7,128,128,0.8,1e-06,2760,0.04201912879943848,9.981282483983306e-07,2.338318203040627,0.15651804662295055
8,128,128,0.8,1e-06,3331,0.05298566818237305,9.988130426612923e-07,1.7660445971546184,0.19026913621671304
9,128,128,0.8,1e-06,2777,0.05357050895690918,9.976842312263423e-07,4.476935819540522,0.07984783208232926
