n,m,eps,Iterationen,Zeit [s],Marginalfehler,Kostendifferenz,Relative Kostendifferenz
512,512,1,98,0.1944892406463623,9.969625871511165e-08,0.8482957813119367,nan
512,512,0.8,93,0.21211481094360352,9.984777908167777e-08,0.6225511514269002,nan
512,512,0.5,77,0.17253923416137695,9.910482226625078e-08,0.27509950926304955,nan
512,512,0.08,1,0.007742881774902344,2.7125003632111344e-14,7.4387490510572355e-06,nan
512,512,0.05,1,0.0070912837982177734,4.336808689942018e-19,4.11425586352287e-09,nan
512,512,0.01,1,0.007152557373046875,0.0,7.42562040526034e-44,nan
512,512,0.008,1,0.007310628890991211,0.0,1.0312659935078698e-54,nan
512,512,0.005,1,0.0070307254791259766,0.0,2.76238720766591e-87,nan
512,512,0.001,1,0.008205652236938477,0.0,0.0,nan
