n,m,eps,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
512,512,1,19604,2.010503053665161,9.999288177629448e-08,4.554895593386528,0.1647002757183893
512,512,0.8,19649,2.0913617610931396,9.996405005846531e-08,5.540612878072139,0.07898612129600124
512,512,0.5,43061,4.575394868850708,9.999939191897983e-08,8.213247783618936,0.017658430168895123
512,512,0.08,100000,10.430515766143799,nan,nan,nan
512,512,0.05,100000,9.98587965965271,nan,nan,nan
512,512,0.01,100000,9.529821157455444,nan,nan,nan
