Seed,n,m,eps,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
0,64,64,1.0,247,0.0028052330017089844,9.423910220934806e-08,5.63223388364324,0.11744800227161356
1,64,64,1.0,870,0.00944209098815918,9.936724779460726e-08,1.9951998632993573,0.28794681082476536
2,64,64,1.0,816,0.009992122650146484,9.893641801303477e-08,2.56286390499994,0.2022285038598941
3,64,64,1.0,864,0.009683370590209961,9.956178602735233e-08,1.7592840096504652,0.32117730092510244
4,64,64,1.0,1202,0.013696432113647461,9.944168559081201e-08,1.5515699671915022,0.33481007379655536
5,64,64,1.0,1119,0.012713432312011719,9.960052604549019e-08,1.9188086930827108,0.3065173237088572
6,64,64,1.0,1323,0.014500141143798828,9.956834817401172e-08,1.6369097951270974,0.3638188850659103
7,64,64,1.0,1338,0.01486968994140625,9.953403800125327e-08,1.2638951052451786,0.3970963029410387
8,64,64,1.0,828,0.009365320205688477,9.972922405954154e-08,2.4195800517861814,0.22275159338739625
9,64,64,1.0,424,0.004809379577636719,9.939834373293155e-08,3.8005413178436993,0.1381198737792988
0,64,64,0.9,271,0.003162860870361328,9.673156584413811e-08,5.606856431249922,0.09207054987829544
1,64,64,0.9,1010,0.011120319366455078,9.998242753161968e-08,1.9415796708978568,0.23432661842326485
2,64,64,0.9,938,0.010766029357910156,9.986525905877897e-08,2.519402509887547,0.15876710874750133
3,64,64,0.9,994,0.011372566223144531,9.919773480762673e-08,1.699361930956537,0.26125522223117437
4,64,64,0.9,1386,0.01544332504272461,9.972432325755509e-08,1.488380184368804,0.2716202909738572
5,64,64,0.9,1301,0.015155315399169922,9.955194798030864e-08,1.8615793387948152,0.24928796942096154
6,64,64,0.9,1563,0.0181429386138916,9.994686613751247e-08,1.5703327604657304,0.2972418504045433
7,64,64,0.9,1565,0.017940282821655273,9.972878000849561e-08,1.1920908452802472,0.32529204297610737
8,64,64,0.9,960,0.010527610778808594,9.977234967026294e-08,2.375187882360643,0.178359423961858
9,64,64,0.9,467,0.005270242691040039,9.96551573866078e-08,3.7694944517393223,0.10707300767492178
0,64,64,0.8,300,0.0034401416778564453,9.800988999553173e-08,5.583625508200311,0.06883962682868461
1,64,64,0.8,1197,0.013599634170532227,9.935918934139698e-08,1.890938269003614,0.18368521652902214
2,64,64,0.8,1095,0.012352466583251953,9.984251852016013e-08,2.4792521466616386,0.11861674552159274
3,64,64,0.8,1160,0.012602090835571289,9.978429303669767e-08,1.6421010596210248,0.2039943508956621
4,64,64,0.8,1618,0.01842808723449707,9.99504139245766e-08,1.4280508749888703,0.21129098159392345
5,64,64,0.8,1531,0.01736283302307129,9.957585746234177e-08,1.807452086716796,0.19516071734294238
6,64,64,0.8,1874,0.020666837692260742,9.96610376446938e-08,1.5065112265482412,0.23342031648705408
7,64,64,0.8,1856,0.02068805694580078,9.977681554237949e-08,1.1229945065694953,0.25619570426535543
8,64,64,0.8,1127,0.014052152633666992,9.982817742240635e-08,2.3337639143923496,0.1369354559935645
9,64,64,0.8,518,0.006239175796508789,9.982794798440997e-08,3.741313730304012,0.07889228623961131
0,64,64,0.7,336,0.003786325454711914,9.588821537134806e-08,5.562897102852749,0.04811122148112279
1,64,64,0.7,1456,0.015961647033691406,9.97333005278711e-08,1.8438244815511098,0.13657142907651787
2,64,64,0.7,1300,0.014748334884643555,9.945571863290148e-08,2.4431479445458826,0.08251254340583669
3,64,64,0.7,1383,0.015668392181396484,9.944538449310758e-08,1.5882005508802153,0.15009384215485255
4,64,64,0.7,1917,0.021834373474121094,9.990786878702473e-08,1.371378377459099,0.15461848406415224
5,64,64,0.7,1830,0.020021438598632812,9.962059774326626e-08,1.7570763136738257,0.14478494429997202
6,64,64,0.7,2290,0.02608942985534668,9.981441371348376e-08,1.4462685787726444,0.17317766871145723
7,64,64,0.7,2241,0.02565145492553711,9.97194044664862e-08,1.0574766495201304,0.19067784721599057
8,64,64,0.7,1345,0.015332698822021484,9.967470193661399e-08,2.295813304222216,0.09898484582343103
9,64,64,0.7,580,0.006405830383300781,9.832689546601658e-08,3.7164596133383365,0.05403816927393601
0,64,64,0.6,380,0.0043141841888427734,9.829286369555934e-08,5.545152970140325,0.03036708876869909
1,64,64,0.6,1844,0.020264625549316406,9.960379472595537e-08,1.80104000256611,0.09378695009151805
2,64,64,0.6,1566,0.019345998764038086,9.997248130722003e-08,2.4121019167821656,0.05146651564211968
3,64,64,0.6,1694,0.019638538360595703,9.976795229196811e-08,1.538822981036288,0.10071627231092517
4,64,64,0.6,2311,0.02658390998840332,9.998084415235864e-08,1.319641073785148,0.10288118039020122
5,64,64,0.6,2236,0.026174545288085938,9.963556418107755e-08,1.7113432747022124,0.09905190532835872
6,64,64,0.6,2868,0.03252720832824707,9.980326980824072e-08,1.3908349690651325,0.11774405900394536
7,64,64,0.6,2774,0.030681610107421875,9.979467489526495e-08,0.9969527832198531,0.13015398091571329
8,64,64,0.6,1639,0.018117427825927734,9.986025818753408e-08,2.2621283036808335,0.06529984528204835
9,64,64,0.6,654,0.007518768310546875,9.921886041583394e-08,3.695545098524544,0.03312365446014365
0,64,64,0.5,438,0.0051424503326416016,9.587422471549201e-08,5.5310409151235795,0.016255033751953363
1,64,64,0.5,2486,0.028237342834472656,9.97124516739778e-08,1.7638513057257859,0.05659825325119394
2,64,64,0.5,1911,0.02106189727783203,9.947763122616915e-08,2.3874536984331614,0.026818297293115467
3,64,64,0.5,2154,0.025910139083862305,9.991246823631839e-08,1.4959714432616928,0.05786473453633012
4,64,64,0.5,2845,0.032393455505371094,9.968470534790774e-08,1.2750025027036913,0.058242609308744475
5,64,64,0.5,2826,0.03196096420288086,9.979542256455254e-08,1.6715872112427232,0.0592958418688696
6,64,64,0.5,3720,0.04068875312805176,9.98383519780488e-08,1.3422202281265658,0.0691293180653787
7,64,64,0.5,3566,0.04074549674987793,9.989852432779056e-08,0.9438107677759344,0.07701196547179456
8,64,64,0.5,2055,0.024248123168945312,9.974936371337506e-08,2.2339600939508566,0.03713163555207144
9,64,64,0.5,746,0.008694648742675781,9.887316718831807e-08,3.67934907819718,0.016927634132779534
0,64,64,0.4,517,0.005755424499511719,9.762135104798841e-08,5.521273358254543,0.006487476882917065
1,64,64,0.4,3698,0.04063749313354492,9.982585738935179e-08,1.7342719864799625,0.027018934005370587
