Seed,n,m,eps,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
0,512,512,1.0,5682,0.5812859535217285,9.999700850361372e-06,3.315816067835417,0.16141390557650226
1,512,512,1.0,9032,0.9282324314117432,9.996981127737177e-06,4.36227641817208,0.03340136058561516
2,512,512,1.0,6812,0.6880626678466797,9.990704509190654e-06,6.747996812430567,0.006758615972809245
3,512,512,1.0,8330,0.887315034866333,9.996966297167679e-06,3.760774385807765,0.06778311269531212
4,512,512,1.0,7407,0.7923736572265625,9.997292671985476e-06,6.028986626943154,0.010930061175695727
5,512,512,1.0,10199,1.0370941162109375,9.99843425984314e-06,2.6969641407108274,0.0997637644545204
6,512,512,1.0,1289,0.1408240795135498,9.985599351411498e-06,5.081466714644343,0.08994591681971453
7,512,512,1.0,5467,0.6331992149353027,9.999652905054359e-06,3.8762396181314127,0.07643392353321898
8,512,512,1.0,8514,0.8815524578094482,9.997715273978372e-06,4.014211464244781,0.05596166120225865
9,512,512,1.0,8313,0.9498813152313232,9.997234761157433e-06,4.756410666928961,0.024140368960500425
0,512,512,0.9,6460,0.6925792694091797,9.999548427327108e-06,3.272127632038208,0.11772546977929288
1,512,512,0.9,10189,1.1125390529632568,9.997450342656266e-06,4.334535188513728,0.06114259024396684
2,512,512,0.9,7671,0.800816535949707,9.997498658362736e-06,6.728784044986515,0.025971383416861116
3,512,512,0.9,9524,0.9534327983856201,9.997328687348477e-06,3.7243309155147064,0.03133964240225362
4,512,512,0.9,8467,0.9714436531066895,9.99850785429789e-06,5.998819727880795,0.019236837886663416
5,512,512,0.9,11678,1.2837204933166504,9.999143533636918e-06,2.646988913223791,0.0497885369674842
6,512,512,0.9,1448,0.1759960651397705,9.991308801792723e-06,5.052337952458473,0.06081715463384452
7,512,512,0.9,6152,0.7167778015136719,9.999198148057543e-06,3.844619732971792,0.04481403837359821
8,512,512,0.9,9632,0.9999635219573975,9.999808963024725e-06,3.976702160102076,0.018452357059553837
9,512,512,0.9,9365,0.9628722667694092,9.998606171136067e-06,4.725257840864749,0.05529319502471175
0,512,512,0.8,7435,0.7955718040466309,9.998696902490355e-06,3.231361997815889,0.07695983555697428
1,512,512,0.8,11642,1.2250418663024902,9.997137140240874e-06,4.309827387661321,0.08585039109637371
2,512,512,0.8,8756,0.9490265846252441,9.99753057248122e-06,6.711602865156921,0.04315256324645489
3,512,512,0.8,11033,1.1176426410675049,9.998072663334329e-06,3.69114426615878,0.0018470069536729028
4,512,512,0.8,9825,1.1453752517700195,9.999351289017959e-06,5.970878361953167,0.047178203814291386
5,512,512,0.8,13543,1.4224720001220703,9.99854692282278e-06,2.6000545213240365,0.002854145067729519
6,512,512,0.8,1648,0.17078161239624023,9.999832338823417e-06,5.025342046988207,0.0338212491635792
7,512,512,0.8,7007,0.6934709548950195,9.998743315781534e-06,3.815855747820364,0.016050053222170124
8,512,512,0.8,11038,1.1457901000976562,9.997358717398104e-06,3.9420584333231514,0.01619136971937074
9,512,512,0.8,10685,1.1612060070037842,9.998759489018762e-06,4.6967043041749985,0.08384673171446266
0,512,512,0.7,8688,0.8875036239624023,9.999488363727181e-06,3.194006588082749,0.039604425823834166
1,512,512,0.7,13519,1.5144610404968262,9.998784014680212e-06,4.288586068075839,0.10709171068185608
2,512,512,0.7,10163,1.049938440322876,9.997572465374454e-06,6.696525874963716,0.05822955343966019
3,512,512,0.7,12995,1.3802971839904785,9.99978387764824e-06,3.661758012987852,0.031233260124600815
4,512,512,0.7,11617,1.2483742237091064,9.998011551943641e-06,5.945559255525861,0.07249731024159711
5,512,512,0.7,15955,1.666053295135498,9.998885356628066e-06,2.5567388299702216,0.04046154628608534
6,512,512,0.7,1908,0.20423436164855957,9.98614622432347e-06,5.000899939884469,0.00937914205984125
7,512,512,0.7,8105,0.8278853893280029,9.9973542929707e-06,3.7903712531361204,0.009434441462073284
8,512,512,0.7,12852,1.3099496364593506,9.99790757298365e-06,3.9106141511498325,0.0476356518926897
9,512,512,0.7,12388,1.4136896133422852,9.998984721681144e-06,4.671131798255441,0.10941923763401995
0,512,512,0.6,10361,1.106825351715088,9.99935457494678e-06,3.160848156099358,0.006445993840443087
1,512,512,0.6,16035,1.6851699352264404,9.998728139392742e-06,4.271596431391307,0.12408134736638754
2,512,512,0.6,12050,1.2854106426239014,9.997925817177566e-06,6.683760932671779,0.07099449573159688
3,512,512,0.6,15644,1.688340425491333,9.998559326958225e-06,3.637012672982835,0.05597860012961764
4,512,512,0.6,14068,1.5199267864227295,9.998318530966138e-06,5.923349536894179,0.09470702887327942
5,512,512,0.6,19181,1.9635989665985107,9.99880337954279e-06,2.517976526287547,0.07922384996876009
6,512,512,0.6,2295,0.2638511657714844,9.994389234510223e-06,4.982589687779127,0.008931110045501178
7,512,512,0.6,9568,1.203784465789795,9.999099231708473e-06,3.7687913770237014,0.031014317574492356
8,512,512,0.6,15274,1.8373973369598389,9.999145130488041e-06,3.883016742212975,0.07523306082954706
9,512,512,0.6,14665,1.6371145248413086,9.998865114318068e-06,4.6491327180004385,0.1314183178890227
0,512,512,0.5,12717,1.4057464599609375,9.99923690532794e-06,3.1331167923678933,0.02128536989102159
1,512,512,0.5,19571,2.0393965244293213,9.99994801491582e-06,4.259837912479227,0.13583986627846745
2,512,512,0.5,14694,1.5533404350280762,9.997382622889406e-06,6.67358880879469,0.08116661960868576
3,512,512,0.5,19396,2.2876410484313965,9.99912947083955e-06,3.6180026739617555,0.07498859915069733
4,512,512,0.5,17584,1.9065487384796143,9.998853604458163e-06,5.905058551253498,0.11299801451395997
5,512,512,0.5,23691,2.464674472808838,9.999502366794984e-06,2.485118290253901,0.1120820860024061
6,512,512,0.5,2845,0.3012356758117676,9.996531420946708e-06,4.968008288014238,0.02351250981038966
7,512,512,0.5,11628,1.1938838958740234,9.99966738883919e-06,3.752192162606123,0.047613531992070524
8,512,512,0.5,18656,1.931250810623169,9.997822154891346e-06,3.8602124921384195,0.09803731090410261
9,512,512,0.5,17854,1.8859875202178955,9.998833794076095e-06,4.631487997433425,0.14906303845603652
0,512,512,0.4,16313,1.6800322532653809,9.999895334743963e-06,3.112716771449687,0.04168539080922784
1,512,512,0.4,24877,2.656191825866699,9.999901576373572e-06,4.254573468080608,0.14110431067708706
2,512,512,0.4,18627,2.062191963195801,9.997378510959425e-06,6.665932896828372,0.08882253157500397
3,512,512,0.4,25071,2.6278069019317627,9.999156658800634e-06,3.6061535598369883,0.08683771327546452
