Seed,n,m,eps,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
0,64,64,0.03,100000,1.3543617725372314,nan,nan,nan
1,64,64,0.03,100000,1.2644388675689697,1.6624907471840533e-05,1.7063002984195392,0.0009527540550526847
2,64,64,0.03,100000,1.306272029876709,nan,nan,nan
3,64,64,0.03,16003,0.19736504554748535,9.989071696539509e-08,1.4380992847843093,7.423941053463778e-06
4,64,64,0.03,100000,1.247495412826538,nan,nan,nan
5,64,64,0.03,32768,0.4037055969238281,9.992923600751769e-08,1.6122867257855786,4.643588275010657e-06
6,64,64,0.03,46038,0.5868759155273438,9.996396684724962e-08,1.2730883173536032,2.5927075839593527e-06
7,64,64,0.03,100000,1.2062585353851318,1.8179401269701606e-05,0.864512462839321,0.0022863394648188207
8,64,64,0.03,94562,1.2242047786712646,9.999788455963832e-08,2.1968214061494526,7.052249332506477e-06
9,64,64,0.03,100000,1.2445197105407715,nan,nan,nan
0,64,64,0.05,3799,0.0447237491607666,9.965846316239979e-08,5.51477847079823,7.4105733958163e-06
1,64,64,0.05,70980,0.8638401031494141,9.997893336138874e-08,1.7072458999850502,7.1524895417507395e-06
2,64,64,0.05,9662,0.1141805648803711,9.974311641208766e-08,2.3606046442234834,3.0756916562513226e-05
3,64,64,0.05,10760,0.12385725975036621,9.994713481495388e-08,1.4380992805912367,7.428134126019614e-06
4,64,64,0.05,18712,0.22959089279174805,9.983882860720161e-08,1.2167287858714466,3.110752350021784e-05
5,64,64,0.05,21422,0.2645740509033203,9.99542633210726e-08,1.6122867246199166,4.644753937022017e-06
6,64,64,0.05,31399,0.3636972904205322,9.998151116047405e-08,1.27308831689859,2.5931625970976313e-06
7,64,64,0.05,100000,1.2561166286468506,1.0418231355738272e-07,0.8667762417271501,2.256057698979408e-05
8,64,64,0.05,89120,1.1200802326202393,9.999826242404475e-08,2.19682140612043,7.0522783550686086e-06
9,64,64,0.05,3202,0.03761434555053711,9.986048558549565e-08,3.6624125143652124,8.92969918808717e-06
0,64,64,0.08,2381,0.028171777725219727,9.926774040269759e-08,5.514778663566788,7.217804838255404e-06
1,64,64,0.08,43068,0.5351741313934326,9.996410497287167e-08,1.7072459013301935,7.1511443984206835e-06
2,64,64,0.08,6597,0.08089733123779297,9.970701411385341e-08,2.3606046556387144,3.0745501331530534e-05
3,64,64,0.08,7816,0.12898778915405273,9.981280645401935e-08,1.4380992906436747,7.41808168802649e-06
4,64,64,0.08,12340,0.16063761711120605,9.978735878574119e-08,1.2167288019614004,3.109143354640409e-05
5,64,64,0.08,15053,0.18679022789001465,9.997609974610189e-08,1.61228672370801,4.645665843572289e-06
6,64,64,0.08,23148,0.2963066101074219,9.99630089711101e-08,1.273088317478507,2.592582680094324e-06
7,64,64,0.08,74286,0.9050891399383545,9.999476422231646e-08,0.8667771489416984,2.1653362441420576e-05
8,64,64,0.08,86027,0.9963734149932861,9.999826894660502e-08,2.1968214098218315,7.048576953661012e-06
9,64,64,0.08,2217,0.026426315307617188,9.9268301329003e-08,3.6624125689162077,8.875148192810656e-06
0,64,64,0.1,1911,0.021400928497314453,9.741017389236495e-08,5.514778800739917,7.080631709399654e-06
1,64,64,0.1,33786,0.40392041206359863,9.996456723504465e-08,1.7072459430773614,7.109397230475878e-06
2,64,64,0.1,5577,0.067138671875,9.960065415481889e-08,2.360604691576067,3.070956397888125e-05
3,64,64,0.1,6841,0.07912969589233398,9.984573655363871e-08,1.4380992983561218,7.410369240901105e-06
4,64,64,0.1,10223,0.13311338424682617,9.988132482555145e-08,1.2167287813429628,3.1112051984028e-05
5,64,64,0.1,12937,0.15351128578186035,9.998511904876772e-08,1.6122867387865178,4.6305873357965766e-06
6,64,64,0.1,20249,0.24428844451904297,9.99544029871291e-08,1.2730883324520272,2.577609159892802e-06
7,64,64,0.1,65467,0.75069260597229,9.999608430871776e-08,0.8667772383646337,2.156393950614177e-05
8,64,64,0.1,81866,0.9701285362243652,9.999994228862552e-08,2.196821931265527,6.527133258327211e-06
9,64,64,0.1,1889,0.022592782974243164,9.873597187765037e-08,3.6624126184179198,8.825646480747906e-06
0,64,64,0.11,1740,0.022246599197387695,9.814040419220404e-08,5.514778760746561,7.120625065581976e-06
1,64,64,0.11,30407,0.35973191261291504,9.99857272948601e-08,1.7072461585300733,6.893944518582273e-06
2,64,64,0.11,5206,0.06447505950927734,9.980425069375243e-08,2.3606046451059526,3.075603409330441e-05
3,64,64,0.11,6490,0.08528256416320801,9.984058963602438e-08,1.43809935152573,7.357199632629374e-06
4,64,64,0.11,9456,0.11140656471252441,9.978783238606681e-08,1.2167288554793168,3.103791563008329e-05
5,64,64,0.11,12172,0.14139747619628906,9.990216167862775e-08,1.6122868231751974,4.546198656196765e-06
6,64,64,0.11,19084,0.23746132850646973,9.997484001073031e-08,1.2730884085591483,2.5015020388430287e-06
7,64,64,0.11,61905,0.7844893932342529,9.999588663350822e-08,0.8667777008165425,2.1101487597374735e-05
8,64,64,0.11,70851,0.8354971408843994,9.999849765601754e-08,2.1968241366177446,4.321781040594885e-06
9,64,64,0.11,1769,0.020718812942504883,9.949432090011756e-08,3.662412560521701,8.88354269967806e-06
0,64,64,0.13,1478,0.017708778381347656,9.842095306800136e-08,5.5147789783476515,6.90302397465814e-06
1,64,64,0.13,25071,0.32811570167541504,9.997690476881704e-08,1.7072501159296392,2.936544952758524e-06
2,64,64,0.13,4637,0.07187032699584961,9.968319867117992e-08,2.3606049822928803,3.0418847165591956e-05
3,64,64,0.13,5957,0.07039523124694824,9.98404346384818e-08,1.4381003218720803,6.386853282469573e-06
4,64,64,0.13,8280,0.0994570255279541,9.99203709391161e-08,1.216729641592828,3.025180211890799e-05
5,64,64,0.13,11002,0.13794517517089844,9.996908247392189e-08,1.6122883001723314,3.06920152226553e-06
6,64,64,0.13,17133,0.212554931640625,9.996939989362352e-08,1.2730898173561755,1.0927050115849823e-06
7,64,64,0.13,51741,0.6618211269378662,9.999280021696921e-08,0.8667853833597611,1.3418944378784659e-05
8,64,64,0.13,37909,0.4796333312988281,9.999451124065306e-08,2.1968416625075506,1.32041087654855e-05
9,64,64,0.13,1585,0.01808309555053711,9.987284407819708e-08,3.66241270879241,8.735271990634175e-06
0,64,64,0.15,1287,0.014890670776367188,9.986422126392891e-08,5.514780590507495,5.290864130813588e-06
1,64,64,0.15,20600,0.24521923065185547,9.997589253338268e-08,1.7072771569864926,2.4104511900713277e-05
2,64,64,0.15,4220,0.04858851432800293,9.988751960288145e-08,2.3606070836588557,2.8317481190143212e-05
3,64,64,0.15,5574,0.06432533264160156,9.990594869446756e-08,1.4381073193214988,6.105961360969303e-07
