Seed,n,m,eps,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
0,64,64,1.0,280,0.0033571720123291016,9.894063079246562e-09,5.632254199855272,0.11746831848364625
1,64,64,1.0,1062,0.012658357620239258,9.970803852704657e-09,1.9952116380545575,0.28795858557996556
2,64,64,1.0,985,0.011630773544311523,9.933618767832275e-09,2.562894172786758,0.2022587716467119
3,64,64,1.0,1081,0.012853860855102539,9.91892755083934e-09,1.7592899557263573,0.32118324700099454
4,64,64,1.0,1454,0.018277645111083984,9.990987058505763e-09,1.5515979487889255,0.3348380553939787
5,64,64,1.0,1426,0.016764402389526367,9.94508805862715e-09,1.9188140416563357,0.3065226722824821
6,64,64,1.0,1697,0.020315885543823242,9.951776507033383e-09,1.6369139455541935,0.3638230354930063
7,64,64,1.0,1653,0.020044565200805664,9.939595878999397e-09,1.2639095826492799,0.39711078034514
8,64,64,1.0,1055,0.01265263557434082,9.973663919055076e-09,2.4195847928544385,0.22275633445565335
9,64,64,1.0,510,0.006166696548461914,9.899623280851255e-09,3.800549812974693,0.13812836891029256
0,64,64,0.9,307,0.003670930862426758,9.700580755334087e-09,5.606877054139316,0.09209117276768986
1,64,64,0.9,1234,0.014683723449707031,9.971158277527481e-09,1.9415912520255325,0.2343381995509406
2,64,64,0.9,1134,0.013565778732299805,9.916312198460231e-09,2.5194332867802367,0.15879788564019082
3,64,64,0.9,1242,0.014799833297729492,9.985421246805348e-09,1.699368039745123,0.26126133101976023
4,64,64,0.9,1675,0.01986861228942871,9.920830226772814e-09,1.4884087962303334,0.27164890283538656
5,64,64,0.9,1656,0.019826412200927734,9.97357741880367e-09,1.8615849063794205,0.2492935370055669
6,64,64,0.9,2010,0.02389073371887207,9.99710798171849e-09,1.5703367155432577,0.2972458054820706
7,64,64,0.9,1932,0.022907495498657227,9.99289638883849e-09,1.1921057505154353,0.32530694821129547
8,64,64,0.9,1220,0.014695167541503906,9.976928474347835e-09,2.375193011812374,0.17836455341358892
9,64,64,0.9,562,0.006850242614746094,9.835643775130132e-09,3.7695027950635933,0.1070813509991928
0,64,64,0.8,339,0.004182338714599609,9.563127584960585e-09,5.583646141824294,0.06886026045266824
1,64,64,0.8,1463,0.017882823944091797,9.921473528157199e-09,1.8909493878109362,0.18369633533634433
2,64,64,0.8,1324,0.01595306396484375,9.952283264863526e-09,2.479282826608591,0.11864742546854501
3,64,64,0.8,1450,0.01820683479309082,9.974225178427387e-09,1.6421074323796974,0.20400072365433464
4,64,64,0.8,1951,0.023362159729003906,9.965007898710132e-09,1.428080009006767,0.21132011561182007
5,64,64,0.8,1947,0.023876428604125977,9.969038813201214e-09,1.8074578653591822,0.19516649598532854
6,64,64,0.8,2416,0.02937769889831543,9.995319301403516e-09,1.5065149379371228,0.23342402787593564
7,64,64,0.8,2291,0.027515411376953125,9.948602462672707e-09,1.123009790599462,0.2562109882953222
