Seed,n,m,eps,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
0,128,128,1.0,6022,0.09523153305053711,9.984398897933122e-11,2.494006492383611,0.24409771376633138
1,128,128,1.0,5194,0.08784866333007812,9.995790306582819e-11,2.162596406314509,0.27757804792005736
2,128,128,1.0,4654,0.07374882698059082,9.974002873613941e-11,2.27612013862623,0.2623468891133749
3,128,128,1.0,1982,0.032617807388305664,9.948396793857395e-11,4.560341925694422,0.16567746339017297
4,128,128,1.0,4448,0.06981706619262695,9.998187000537229e-11,2.792142703361764,0.20498199051703514
5,128,128,1.0,3873,0.06671643257141113,9.987018330381847e-11,2.8408982844456356,0.2122981506832442
6,128,128,1.0,870,0.013693094253540039,9.780557613803254e-11,6.428484055467729,0.07986713524595856
7,128,128,1.0,4449,0.06918120384216309,9.975143627771743e-11,2.43404991817531,0.25224976175763336
8,128,128,1.0,5942,0.09302663803100586,9.99877541874028e-11,1.8831049928246832,0.3073295318867779
9,128,128,1.0,4490,0.07149839401245117,9.990561156136835e-11,4.536067863352243,0.1389798758940506
0,128,128,0.9,6879,0.11492776870727539,9.983158397175451e-11,2.444562086482507,0.19465330786522728
1,128,128,0.9,5900,0.09552955627441406,9.984000085005995e-11,2.1095937836668197,0.22457542527236818
2,128,128,0.9,5342,0.0848245620727539,9.97142143160934e-11,2.2234518858554346,0.20967863634257933
3,128,128,0.9,2189,0.035056352615356445,9.970656418556434e-11,4.525822726661648,0.1311582643573992
4,128,128,0.9,4988,0.07966399192810059,9.988795728055333e-11,2.749053828250788,0.161893115406059
5,128,128,0.9,4399,0.06807184219360352,9.975827455765973e-11,2.797976509929661,0.16937637616726953
6,128,128,0.9,932,0.015449047088623047,9.781093122940288e-11,6.4100405785742005,0.06142365835242991
7,128,128,0.9,5082,0.07962512969970703,9.970652775637134e-11,2.3853213144400414,0.2035211580223648
8,128,128,0.9,6893,0.1076359748840332,9.998202266103817e-11,1.8232136319621695,0.24743817102426413
9,128,128,0.9,5233,0.08665990829467773,9.982272647368617e-11,4.505976164166042,0.10888817670784956
0,128,128,0.8,7960,0.1189877986907959,9.982149655474171e-11,2.3983892434811453,0.1484804648638658
1,128,128,0.8,6784,0.13083124160766602,9.977036211084034e-11,2.0595267555390526,0.1745083971446011
2,128,128,0.8,6213,0.10277104377746582,9.999657525627814e-11,2.174270674832699,0.16049742531984368
3,128,128,0.8,2446,0.04121589660644531,9.98185440553856e-11,4.49390390228191,0.09923943997766127
4,128,128,0.8,5645,0.09847307205200195,9.988217891665485e-11,2.709282053779913,0.12212134093518401
5,128,128,0.8,5067,0.0807504653930664,9.97650573264508e-11,2.7580802846538055,0.12948015089141407
6,128,128,0.8,1005,0.01673722267150879,9.92756155060448e-11,6.393550574096625,0.04493365387485415
7,128,128,0.8,5892,0.0995783805847168,9.987444378467547e-11,2.3393890348025885,0.15758887838491198
8,128,128,0.8,8127,0.13393282890319824,9.981879732501309e-11,1.766695329311042,0.19091986837313657
9,128,128,0.8,6201,0.10050535202026367,9.986407534245956e-11,4.4783859761732,0.08129798871500782
0,128,128,0.7,9367,0.148453950881958,9.998961381096905e-11,2.356181543002155,0.10627276438487554
1,128,128,0.7,7924,0.13079595565795898,9.987498675312345e-11,2.0130091824566354,0.12799082406218387
2,128,128,0.7,7351,0.11644387245178223,9.979708379126428e-11,2.1292866222915805,0.1155133727787252
3,128,128,0.7,2783,0.04589343070983887,9.940838777144911e-11,4.465081939485202,0.07041747718095337
4,128,128,0.7,6462,0.10243606567382812,9.99817607177933e-11,2.6733995449103136,0.08623883206558469
5,128,128,0.7,5935,0.09725284576416016,9.978905549101746e-11,2.7217731513169827,0.09317301755459129
6,128,128,0.7,1094,0.017287015914916992,9.922122325145555e-11,6.379211453340306,0.03059453311853577
7,128,128,0.7,6969,0.11092472076416016,9.977665221816423e-11,2.2967683610217113,0.11496820460403478
8,128,128,0.7,9774,0.1540687084197998,9.988444620023795e-11,1.7143800149554493,0.138604554017544
9,128,128,0.7,7485,0.11745142936706543,9.985603316442493e-11,4.4537130964338125,0.05662510897562001
0,128,128,0.6,11282,0.1791515350341797,9.994823892134352e-11,2.3189247555455483,0.06901597692826877
1,128,128,0.6,9455,0.1564314365386963,9.996967142988922e-11,1.9710058008128195,0.08598744241836798
2,128,128,0.6,8893,0.14586949348449707,9.980697691924778e-11,2.089501979228734,0.07572872971587863
3,128,128,0.6,3229,0.051046133041381836,9.960917854434648e-11,4.4400442445938,0.045379782289550974
4,128,128,0.6,7511,0.12252330780029297,9.990653096481061e-11,2.642217145425177,0.0550564325804479
5,128,128,0.6,7093,0.11721324920654297,9.98467055562946e-11,2.6898309999887426,0.06123086622635121
6,128,128,0.6,1205,0.018907546997070312,9.777058329607513e-11,6.367295985314707,0.018679065092936042
7,128,128,0.6,8472,0.14087414741516113,9.98889703590633e-11,2.25831395689378,0.07651380047610346
8,128,128,0.6,12057,0.19174718856811523,9.995264858841946e-11,1.6674776517128833,0.09170219077497799
9,128,128,0.6,9192,0.15079879760742188,9.984326559964174e-11,4.432555811691089,0.03546782423289674
0,128,128,0.5,14052,0.21968555450439453,9.99105034815706e-11,2.2880443376667925,0.038135559049512935
1,128,128,0.5,11624,0.183485746383667,9.992269164871281e-11,1.9350521440687398,0.05003378567428829
2,128,128,0.5,11096,0.17370939254760742,9.989493954254414e-11,2.0563703060736707,0.04259705656081536
3,128,128,0.5,3848,0.06333470344543457,9.995149499730793e-11,4.419714495330517,0.02505003302626818
4,128,128,0.5,8918,0.13958358764648438,9.999918254566253e-11,2.616901960730112,0.029741247885382904
5,128,128,0.5,8693,0.1364428997039795,9.989542699984089e-11,2.6633380438182535,0.03473791005586202
6,128,128,0.5,1347,0.02227783203125,9.839380872567194e-11,6.358155788595132,0.009538868373361709
7,128,128,0.5,10721,0.16635656356811523,9.988926699677769e-11,2.2254949030298663,0.04369474661218975
8,128,128,0.5,15374,0.24073457717895508,9.996262845257675e-11,1.6278063366499866,0.052030875712081315
9,128,128,0.5,11381,0.1764390468597412,9.994959027093131e-11,4.415735367999986,0.018647380541793268
0,128,128,0.4,18466,0.29909253120422363,9.992894359212023e-11,2.2655068801615403,0.015598101544260778
1,128,128,0.4,14932,0.2411658763885498,9.994887903430616e-11,1.9074346686050565,0.022416310210604973
2,128,128,0.4,14436,0.23446083068847656,9.991702083766985e-11,2.0319139726522586,0.018140723139403292
3,128,128,0.4,4755,0.07319474220275879,9.972565828686442e-11,4.405164668219146,0.010500205914897087
