Seed,n,m,eps,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
0,256,256,0.16,100000,4.3526599407196045,4.2737991508886436e-07,2.5250223779241665,0.0009483323952474976
1,256,256,0.16,100000,3.8282949924468994,nan,nan,nan
2,256,256,0.16,67738,2.4669079780578613,9.999933520306314e-08,2.4945021741797078,5.40638129749027e-05
3,256,256,0.16,66179,2.2363171577453613,9.999581958991532e-08,2.9308253366748707,5.291558923925521e-05
4,256,256,0.16,100000,3.073993682861328,nan,nan,nan
5,256,256,0.16,93296,3.2270355224609375,9.999975731766336e-08,2.160286533848856,0.0001472322282891625
6,256,256,0.16,53325,1.8665194511413574,9.998708634315068e-08,3.9471194624544124,6.0028021020563926e-05
7,256,256,0.16,24431,0.8747684955596924,9.996250913829607e-08,3.9438894111976257,6.233001203037603e-05
8,256,256,0.16,100000,3.378300905227661,1.508422194070394e-07,2.0404423654813026,0.0003293945857887337
9,256,256,0.16,48615,1.7515194416046143,9.997556644353311e-08,3.7759804327796354,0.00018242653942879272
0,256,256,0.18,100000,3.314011573791504,2.2429876503013424e-07,2.525568752494004,0.000401957825410193
1,256,256,0.18,7911,0.3004310131072998,9.996942984275697e-08,6.814715909284736,0.0005487146222584727
2,256,256,0.18,59362,1.8921592235565186,9.998776020515854e-08,2.4945527726942225,3.4652984601812875e-06
3,256,256,0.18,53379,1.7246932983398438,9.99906956018759e-08,2.9308733497564043,4.9025077055731e-06
4,256,256,0.18,10160,0.31835246086120605,9.952755717756306e-08,6.438934286368069,0.0005760005218915509
5,256,256,0.18,82073,2.6257739067077637,9.999479330929234e-08,2.160381818960771,5.194711637424021e-05
6,256,256,0.18,46588,1.5668659210205078,9.999190148102244e-08,3.947155953585448,2.3536889985020792e-05
7,256,256,0.18,23036,0.7999186515808105,9.996701440858485e-08,3.943920952619422,3.0788590234198665e-05
8,256,256,0.18,91621,3.0028891563415527,9.999381444820293e-08,2.0406441783188707,0.00012758174822069535
9,256,256,0.18,42956,1.454000473022461,9.997573114511882e-08,3.7760094750801416,0.00015338423892252706
0,256,256,0.2,100000,3.0420644283294678,1.1307812705901171e-07,2.5260352008369646,6.449051755064161e-05
1,256,256,0.2,7215,0.2365882396697998,9.998323689114352e-08,6.814730219215454,0.0005344046915407574
2,256,256,0.2,52715,1.8742620944976807,9.998933636103102e-08,2.494683566262669,0.0001273282699862932
3,256,256,0.2,44744,1.5670745372772217,9.999929252019202e-08,2.9309891252375717,0.00011087297346179525
4,256,256,0.2,9267,0.2904703617095947,9.956197788863613e-08,6.4389469887573165,0.0005632981326444408
5,256,256,0.2,72330,2.3848023414611816,9.999886401313579e-08,2.1605988829122444,0.00016511683509934372
6,256,256,0.2,40996,1.496370553970337,9.999644790849305e-08,3.9472494755111067,6.998503567379188e-05
