Seed,n,m,eps,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
0,1024,1024,1.81,7741,3.5988316535949707,9.998633195517281e-06,7.029048078351334,0.038744153508652346
1,1024,1024,1.81,7307,3.6270081996917725,9.998723196378428e-06,8.190103199744176,0.12223214679165118
2,1024,1024,1.81,7947,4.095675230026245,9.999158667932644e-06,6.705144972449878,0.3117651521063882
3,1024,1024,1.81,9234,4.488750219345093,9.996526135591655e-06,10.377805267492846,0.5303184588867023
4,1024,1024,1.81,7678,4.3165295124053955,9.999625434149034e-06,6.530723624629329,0.06848389624049478
5,1024,1024,1.81,7511,4.568602800369263,9.999936065982875e-06,6.403082356463111,0.04494265942669351
6,1024,1024,1.81,9503,5.609488487243652,9.99937925278251e-06,6.921108921294745,0.28589154377208637
7,1024,1024,1.81,6974,4.143445253372192,9.998260023085306e-06,5.338536846749692,0.01810288416628314
8,1024,1024,1.81,8223,4.823458671569824,9.999551575320693e-06,5.929644216305723,0.022579339594505754
9,1024,1024,1.81,6177,3.608828544616699,9.99102709232035e-06,14.49460950019631,0.2130473033144913
0,1024,1024,1.83,7640,4.4634315967559814,9.998024848659583e-06,7.035439322381742,0.03235290947824421
1,1024,1024,1.83,7220,4.219405889511108,9.998513472316527e-06,8.19495990847316,0.11737543806266615
2,1024,1024,1.83,7848,4.871887445449829,9.999759715982517e-06,6.712045961209773,0.304864163346493
3,1024,1024,1.83,9115,5.690523147583008,9.998804665445381e-06,10.38208580837572,0.5260379180038282
4,1024,1024,1.83,7579,4.517311096191406,9.9978552255452e-06,6.5393421652443156,0.05986535562550799
5,1024,1024,1.83,7409,4.463962554931641,9.999977720943605e-06,6.412096989868856,0.035928026020948245
6,1024,1024,1.83,9369,5.649490594863892,9.99940839662805e-06,6.929580498005219,0.2774199670616122
7,1024,1024,1.83,6880,4.179816961288452,9.998498941409233e-06,5.347343684292843,0.026909721709434287
8,1024,1024,1.83,8111,4.7617878913879395,9.999409282826716e-06,5.938277644096143,0.013945911804086109
9,1024,1024,1.83,6101,3.7395713329315186,9.991362518207503e-06,14.496326721685385,0.21133008182541602
0,1024,1024,1.85,7541,4.806248188018799,9.998075461048429e-06,7.041857702046482,0.025934529813504525
1,1024,1024,1.85,7135,4.318161487579346,9.997627264279885e-06,8.199909769161671,0.1124255773741556
2,1024,1024,1.85,7752,4.712854385375977,9.997354297785858e-06,6.719173269335679,0.29773685522058724
3,1024,1024,1.85,8999,5.306607246398926,9.999038397704406e-06,10.386572395149107,0.521551331230441
4,1024,1024,1.85,7481,4.540870666503906,9.998635583953735e-06,6.547896028111098,0.051311492758725485
